Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,110,0.4377272727272731,0.09090909090909083,0.4377272727272731,0.09090909090909083,0.0054921866088742345,0.0,0.0,0.0054921866088742345,0.0,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0
3,40,0.5452500000000002,0.1500000000000013,0.4664000000000003,0.10666666666666695,0.0067128347183747555,0.0,0.0,0.005822237017310252,0.0,0.0,0.29375,0.0,0.0,0.2783333333333333,0.0,0.0,0.0,0.0
4,52,0.4967307692307695,-0.1153846153846185,0.4742079207920795,0.04950495049504892,0.006257267441860493,0.0,0.0,0.005933473736372653,0.0,0.0,0.39903846153846156,0.0,0.0,0.3094059405940594,0.0,0.0,0.0,0.0
5,45,0.09577777777777775,-0.2666666666666582,0.4052631578947371,-0.008097165991901778,0.0010571498650968818,0.0,0.0,0.004950299193907329,0.0,0.0,0.21666666666666667,0.0,0.0,0.2925101214574899,0.0,0.0,0.0,0.0
6,47,0.5885106382978728,0.2553191489361648,0.43455782312925195,0.034013605442176895,0.010842806742453881,0.0,0.0,0.0056103987352889495,0.0,0.0,0.28191489361702127,0.0,0.0,0.29081632653061223,0.0,0.0,0.0,0.0
7,46,0.34021739130434786,-0.17391304347824943,0.42179411764705904,0.005882352941178038,0.0052907369844488305,0.0,0.0,0.005573649436455484,0.0,0.0,0.32065217391304346,0.0,0.0,0.2948529411764706,0.0,0.0,0.0,0.0
8,56,0.4655357142857145,0.35714285714286725,0.42797979797979824,0.05555555555555833,0.005735973597359804,0.0,0.0,0.005598018166804291,0.0,0.0,0.14285714285714285,0.0,0.0,0.27335858585858586,0.0,0.0,0.0,0.0
9,44,0.4443181818181818,0.2727272727272684,0.4296136363636366,0.07727272727272934,0.005056906363166098,0.0,0.0,0.00553674467648868,0.0,0.0,0.22727272727272727,0.0,0.0,0.26875,0.0,0.0,0.0,0.0
10,55,0.3012727272727274,-0.07272727272727438,0.41535353535353553,0.06060606060606226,0.003812701334560463,0.0,0.0,0.005342063553927295,0.0,0.0,0.2545454545454545,0.0,0.0,0.26717171717171717,0.0,0.0,0.0,0.0
11,42,0.2497619047619047,5.7028208213939445E-15,0.4024022346368717,0.055865921787711464,0.0034158254640182678,0.0,0.0,0.005199720872034263,0.0,0.0,0.23214285714285715,0.0,0.0,0.2644320297951583,0.0,0.0,0.0,0.0
12,44,0.26659090909090905,-0.18181818181818107,0.39211703958691924,0.03786574870912408,0.0035438066465257206,0.0,0.0,0.005077560845145762,0.0,0.0,0.2727272727272727,0.0,0.0,0.26506024096385544,0.0,0.0,0.0,0.0
13,51,0.26921568627450976,0.07843137254902853,0.3821993670886077,0.041139240506331554,0.0033012743447944156,0.0,0.0,0.004926877026944336,0.0,0.0,0.20588235294117646,0.0,0.0,0.2602848101265823,0.0,0.0,0.0,0.0
14,43,-0.02162790697674422,-0.325581395348828,0.35647407407407417,0.017777777777780647,-2.86065825899707E-4,0.0,0.0,0.004602700944948163,0.0,0.0,0.11627906976744186,0.0,0.0,0.2511111111111111,0.0,0.0,0.0,0.0
15,59,-0.2103389830508475,-0.37288135593221367,0.31091280653950965,-0.013623978201633068,-0.003231770833333316,0.0,0.0,0.004066609643964505,0.0,0.0,0.00847457627118644,0.0,0.0,0.23160762942779292,0.0,0.0,0.0,0.0
16,54,0.340925925925926,-5.124501646070745E-16,0.3129695431472082,-0.012690355329947589,0.004622144112477962,0.0,0.0,0.004103425899735442,0.0,0.0,0.2222222222222222,0.0,0.0,0.23096446700507614,0.0,0.0,0.0,0.0
17,54,0.08611111111111108,-0.22222222222222285,0.2984204275534443,-0.026128266033252655,9.133765468473668E-4,0.0,0.0,0.0038543072769664953,0.0,0.0,0.22685185185185186,0.0,0.0,0.23070071258907363,0.0,0.0,0.0,0.0
18,56,0.046249999999999965,-0.3214285714285761,0.282694877505568,-0.04454342984409688,7.56204379562067E-4,0.0,0.0,0.003699666263462405,0.0,0.0,0.14285714285714285,0.0,0.0,0.22522271714922049,0.0,0.0,0.0,0.0
19,49,0.09857142857142853,4.880237370681691E-16,0.273167898627244,-0.042238648363251294,0.0012811671087533075,0.0,0.0,0.003573707986240621,0.0,0.0,0.0663265306122449,0.0,0.0,0.21700105596620908,0.0,0.0,0.0,0.0
20,64,0.15609374999999998,-0.0468750000000019,0.26575667655786356,-0.04253214638971226,0.0015331491712707347,0.0,0.0,0.0034051937188700043,0.0,0.0,0.15234375,0.0,0.0,0.2129080118694362,0.0,0.0,0.0,0.0
21,49,-0.054285714285714326,-0.16326530612244988,0.2509622641509434,-0.048113207547169,-9.564904710535597E-4,0.0,0.0,0.0032566965378776746,0.0,0.0,0.00510204081632653,0.0,0.0,0.20330188679245284,0.0,0.0,0.0,0.0
22,46,0.3713043478260869,0.1739130434782574,0.2559674502712478,-0.0388788426763104,0.006163839769036475,0.0,0.0,0.0033520809898762664,0.0,0.0,0.16304347826086957,0.0,0.0,0.20162748643761302,0.0,0.0,0.0,0.0
23,43,-0.03720930232558143,-0.41860465116279194,0.24499564838990426,-0.053089643167971594,-4.620271440946417E-4,0.0,0.0,0.003201847175777433,0.0,0.0,0.19767441860465115,0.0,0.0,0.20147954743255003,0.0,0.0,0.0,0.0
24,55,0.5076363636363638,0.07272727272727536,0.2569933554817276,-0.04734219269102925,0.006655542312276804,0.0,0.0,0.003359134975519216,0.0,0.0,0.3,0.0,0.0,0.2059800664451827,0.0,0.0,0.0,0.0
25,53,0.14301886792452828,-0.11320754716980509,0.25218774860779636,-0.050119331742242555,0.0020186418109188107,0.0,0.0,0.003306629949513933,0.0,0.0,0.10377358490566038,0.0,0.0,0.2016706443914081,0.0,0.0,0.0,0.0
26,44,0.689318181818182,0.27272727272726954,0.26697156033820135,-0.039200614911605716,0.009295127183573426,0.0,0.0,0.0035037475663516134,0.0,0.0,0.3693181818181818,0.0,0.0,0.20734050730207532,0.0,0.0,0.0,0.0
27,50,0.14659999999999995,-0.07999999999999771,0.26251665433012583,-0.04071058475203473,0.002050923335198615,0.0,0.0,0.003453191178618389,0.0,0.0,0.185,0.0,0.0,0.20651369356032567,0.0,0.0,0.0,0.0
28,39,-0.07974358974358978,-0.15384615384613531,0.25291366906474816,-0.04388489208632964,-9.724828017509196E-4,0.0,0.0,0.0033195471327535785,0.0,0.0,0.02564102564102564,0.0,0.0,0.2014388489208633,0.0,0.0,0.0,0.0
