Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg time to decide,Avg time for feedbacks,Avg time to decide in Window,Avg time for feedbacks in Window,Avg privacy score,Avg privacy score in Window
2,91,0.24978021978022005,-0.04395604395603924,0.24978021978022005,-0.04395604395603924,0.0,0.0031154057017547046,0.0,0.0,0.0031154057017547046,0.0,0.0,0.21703296703296704,0.0,0.0,0.21703296703296704,0.0,124290.62637362638,27942.79120879121,124290.62637362638,27942.79120879121,0.0,0.0
3,52,0.4773076923076926,0.15384615384615363,0.3325174825174828,0.027972027972030897,0.0,0.005057049714751558,0.0,0.0,0.0038962635201575686,0.0,0.0,0.34134615384615385,0.0,0.0,0.26223776223776224,0.0,54740.5,22887.76923076923,89515.56318681319,25415.28021978022,0.0,0.0
4,45,0.3926666666666668,-0.13333333333333472,0.3469148936170215,-0.010638297872338531,0.0,0.005124709976797834,0.0,0.0,0.004166879631996033,0.0,0.0,0.35,0.0,0.0,0.28324468085106386,0.0,50764.311111111114,20684.333333333332,76598.47916157916,23838.297924297924,0.0,0.0
5,53,0.14283018867924527,-0.2641509433962361,0.30203319502074705,-0.0663900414937766,0.0,0.001347454610181615,0.0,0.0,0.0034221908791726473,0.0,0.0,0.22641509433962265,0.0,0.0,0.27074688796680496,0.0,50719.79245283019,20362.88679245283,70128.80748439192,22969.44514133665,0.0,0.0
6,42,0.36690476190476184,2.2178026610964435E-15,0.3116607773851591,-0.05653710247349847,0.0,0.004168244522585826,0.0,0.0,0.0035326631153122924,0.0,0.0,0.25,0.0,0.0,0.2676678445229682,0.0,40041.76190476191,19664.571428571428,64111.39836846591,22308.470398783607,0.0,0.0
7,56,0.388214285714286,-6.435328460595104E-15,0.3243067846607671,-0.047197640117995356,0.0,0.0038821428571428405,0.0,0.0,0.0035966892400301604,0.0,0.0,0.32142857142857145,0.0,0.0,0.27654867256637167,0.0,30790.98214285714,18122.51785714286,58557.995664197784,21610.811641843484,0.0,0.0
8,39,-0.3553846153846154,-0.41025641025642046,0.25417989417989434,-0.08465608465608683,0.0,-0.004101805267830785,0.0,0.0,0.0028303776586343513,0.0,0.0,-0.12179487179487179,0.0,0.0,0.23544973544973544,0.0,41072.846153846156,17778.20512820513,56060.11716271898,21063.296425609435,0.0,0.0
9,45,0.3162222222222222,-3.175237850427948E-15,0.26078014184397175,-0.07565011820331198,0.0,0.0038879781420765023,0.0,0.0,0.0029333085145987793,0.0,0.0,0.26666666666666666,0.0,0.0,0.23877068557919623,0.0,36960.08888888889,20399.31111111111,53672.613628490224,20980.298261297143,0.0,0.0
10,58,0.09206896551724135,-0.06896551724138904,0.24043659043659057,-0.07484407484407803,0.0,9.823399558498817E-4,0.0,0.0,0.0026869104595511747,0.0,0.0,0.07327586206896551,0.0,0.0,0.2188149688149688,0.0,34681.81034482759,5213.568965517241,51562.52437474993,19228.439450654932,0.0,0.0
11,50,-0.07360000000000003,-0.11999999999999952,0.2108662900188325,-0.07909604519774295,0.0,-8.161454868041541E-4,0.0,0.0,0.002354734916195279,0.0,0.0,-0.055,0.0,0.0,0.19303201506591336,0.0,37585.3,7011.86,50164.80193727494,18006.78150558944,0.0,0.0
