Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,110,0.39381818181818223,-0.02727272727272837,0.39381818181818223,-0.02727272727272837,0.005199855959668863,0.0,0.0,0.005199855959668863,0.0,0.0,0.32272727272727275,0.0,0.0,0.32272727272727275,0.0,0.0,0.3090909090909091,0.3090909090909091
3,45,0.036666666666666674,0.1333333333333341,0.2901290322580648,0.019354838709676865,4.1478129713426E-4,0.0,0.0,0.003653424323665723,0.0,0.0,-0.027777777777777776,0.0,0.0,0.22096774193548388,0.0,0.0,0.4666666666666667,0.3878787878787879
4,55,0.7758181818181822,0.3272727272727264,0.41733333333333367,0.09999999999999935,0.013724670311997908,0.0,0.0,0.005684265144636326,0.0,0.0,0.35,0.0,0.0,0.25476190476190474,0.0,0.0,0.33636363636363636,0.3707070707070707
5,44,0.10045454545454541,5.071700635219465E-16,0.36244094488189005,0.08267716535433026,0.002443338861249328,0.0,0.0,0.005343936843327504,0.0,0.0,0.045454545454545456,0.0,0.0,0.21850393700787402,0.0,0.0,0.32954545454545453,0.36041666666666666
6,50,0.3864000000000004,1.5987211554602254E-16,0.3663815789473687,0.0690789473684207,0.004996121024049485,0.0,0.0,0.005280174457191726,0.0,0.0,0.315,0.0,0.0,0.234375,0.0,0.0,0.25,0.3383333333333333
7,60,0.05850000000000006,-0.13333333333333583,0.3156318681318684,0.03571428571428501,7.096643752526956E-4,0.0,0.0,0.004412058371735872,0.0,0.0,0.0625,0.0,0.0,0.20604395604395603,0.0,0.0,0.2916666666666667,0.33055555555555555
8,49,0.525510204081633,0.04081632653061222,0.340532687651332,0.036319612590798404,0.006991582948683247,0.0,0.0,0.004731689264206254,0.0,0.0,0.40816326530612246,0.0,0.0,0.23002421307506055,0.0,0.0,0.3469387755102041,0.33289601554907683
9,46,-0.06739130434782611,-0.08695652173913115,0.2996514161220046,0.0239651416121998,-8.14717477003941E-4,0.0,0.0,0.004102242901455574,0.0,0.0,-0.13043478260869565,0.0,0.0,0.19389978213507625,0.0,0.0,0.2608695652173913,0.3238927092576161
10,53,0.05452830188679243,0.1320754716981117,0.2742773437500002,0.03515624999999928,5.685618729097545E-4,0.0,0.0,0.003637046437543777,0.0,0.0,-0.11320754716981132,0.0,0.0,0.162109375,0.0,0.0,0.4528301886792453,0.3382190958600193
11,50,0.3712,0.040000000000001104,0.2829003558718863,0.035587188612099085,0.0048120300751879775,0.0,0.0,0.003743760007535151,0.0,0.0,0.27,0.0,0.0,0.17170818505338079,0.0,0.0,0.37,0.3413971862740174
12,56,0.538214285714286,0.10714285714285667,0.3060355987055018,0.04207119741100268,0.005638914873713717,0.0,0.0,0.0039556187647711415,0.0,0.0,0.3169642857142857,0.0,0.0,0.1848705501618123,0.0,0.0,0.5267857142857143,0.3582506888205353
13,46,0.019347826086956496,-0.21739130434782752,0.28617469879518087,0.024096385542168062,2.1348045094748345E-4,0.0,0.0,0.0036554961332769553,0.0,0.0,0.10869565217391304,0.0,0.0,0.17959337349397592,0.0,0.0,0.32608695652173914,0.3555703777956356
14,44,0.23636363636363633,0.4318181818181934,0.2830790960451979,0.04943502824858772,0.003690560681334209,0.0,0.0,0.0036572992700730383,0.0,0.0,-0.14772727272727273,0.0,0.0,0.15925141242937854,0.0,0.0,0.375,0.35706496411904826
15,40,0.3450000000000001,0.37500000000000283,0.28639037433155096,0.06684491978609655,0.003899406612037394,0.0,0.0,0.0036719861499169134,0.0,0.0,-0.05625,0.0,0.0,0.14772727272727273,0.0,0.0,0.375,0.35834603811054483
16,55,0.037818181818181786,-0.09090909090909059,0.26936488169364897,0.056039850560398806,5.540756526371856E-4,0.0,0.0,0.003483484450743285,0.0,0.0,0.03636363636363636,0.0,0.0,0.14009962640099627,0.0,0.0,0.3090909090909091,0.35506236284256915
17,44,0.07340909090909088,-0.22727272727272493,0.25918536009445114,0.04132231404958718,9.414164966481849E-4,0.0,0.0,0.0033503754349551726,0.0,0.0,0.10227272727272728,0.0,0.0,0.1381345926800472,0.0,0.0,0.32954545454545453,0.35346755607399943
18,40,0.6657500000000003,0.10000000000000205,0.27751972942502834,0.043968432919955384,0.008451285306252724,0.0,0.0,0.0035844193665817994,0.0,0.0,0.44375,0.0,0.0,0.15191657271702366,0.0,0.0,0.3875,0.35546946454023476
19,53,0.8915094339622648,0.1886792452830196,0.31213829787234065,0.052127659574468584,0.011753731343283549,0.0,0.0,0.0040361785542335086,0.0,0.0,0.5849056603773585,0.0,0.0,0.17632978723404255,0.0,0.0,0.3490566037735849,0.3551131944976431
20,46,0.4067391304347826,0.08695652173912978,0.3165517241379312,0.05375253549695785,0.0042177637511272344,0.0,0.0,0.004046621980786005,0.0,0.0,0.22826086956521738,0.0,0.0,0.1787525354969574,0.0,0.0,0.34782608695652173,0.3547296625217946
21,37,0.3794594594594594,0.16216216216215631,0.31882697947214095,0.05767350928641273,0.0032666356444857616,0.0,0.0,0.004005452602881101,0.0,0.0,0.20270270270270271,0.0,0.0,0.17961876832844575,0.0,0.0,0.527027027027027,0.36334453074705625
