Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,96,0.23333333333333348,-0.041666666666665624,0.23333333333333348,-0.041666666666665624,0.0,0.0031886120996441397,0.0,0.0,0.0031886120996441397,0.0,0.0,0.23177083333333334,0.0,0.0,0.23177083333333334,0.0,0.3020833333333333,0.3020833333333333
3,51,0.37352941176470594,2.118777647883751E-15,0.2819727891156464,-0.02721088435374008,0.0,0.003845377472749172,0.0,0.0,0.003460222055263334,0.0,0.0,0.28431372549019607,0.0,0.0,0.25,0.0,0.3137254901960784,0.30790441176470584
4,60,0.25716666666666665,-0.03333333333334075,0.27478260869565224,-0.028985507246377953,0.0,0.0043748227955769554,0.0,0.0,0.0036682574487294853,0.0,0.0,0.175,0.0,0.0,0.22826086956521738,0.0,0.25833333333333336,0.29138071895424833
5,44,0.09818181818181815,-0.09090909090909081,0.24382470119521918,-0.03984063745020013,0.0,0.0016501145912910492,0.0,0.0,0.0033767380269255883,0.0,0.0,0.13068181818181818,0.0,0.0,0.21115537848605578,0.0,0.3181818181818182,0.2980809937611408
6,50,0.6918000000000006,0.420000000000021,0.3182392026578075,0.036544850498341594,0.0,0.010712294828120373,0.0,0.0,0.004486020699667496,0.0,0.0,0.21,0.0,0.0,0.21096345514950166,0.0,0.36,0.31046479500891266
7,53,0.3932075471698113,-0.11320754716981285,0.32946327683615834,0.01412429378531282,0.0,0.005760088446655662,0.0,0.0,0.004670617916783478,0.0,0.0,0.28773584905660377,0.0,0.0,0.22245762711864406,0.0,0.3018867924528302,0.3090351279162322
8,38,0.4352631578947368,0.2631578947368415,0.33971938775510213,0.0382653061224508,0.0,0.004463032919589857,0.0,0.0,0.004643791191547241,0.0,0.0,0.25,0.0,0.0,0.22512755102040816,0.0,0.3157894736842105,0.31000003445451485
9,46,0.3386956521739132,0.04347826086956526,0.3396118721461189,0.03881278538812949,0.0,0.005892586989410065,0.0,0.0,0.004749209795344991,0.0,0.0,0.2717391304347826,0.0,0.0,0.2300228310502283,0.0,0.391304347826087,0.32016307362596136
10,52,0.2288461538461538,-0.019230769230770803,0.32785714285714296,0.032653061224491096,0.0,0.0026211453744494177,0.0,0.0,0.00447979699394888,0.0,0.0,0.22115384615384615,0.0,0.0,0.22908163265306122,0.0,0.2692307692307692,0.31450392869316224
11,62,0.15612903225806485,-0.12903225806451657,0.30856884057971035,0.01449275362318951,0.0,0.0020799312419424064,0.0,0.0,0.004204121930149346,0.0,0.0,0.10887096774193548,0.0,0.0,0.21557971014492755,0.0,0.3790322580645161,0.3209567616302976
12,48,0.2214583333333333,-0.04166666666666431,0.30160000000000015,0.010000000000001204,0.0,0.0021858934813901733,0.0,0.0,0.003987835515007298,0.0,0.0,0.3072916666666667,0.0,0.0,0.22291666666666668,0.0,0.3333333333333333,0.32208190451239177
13,58,0.3993103448275867,0.12068965517241086,0.310212765957447,0.01975683890577591,0.0,0.006245954692556653,0.0,0.0,0.004158415841584184,0.0,0.0,0.21982758620689655,0.0,0.0,0.22264437689969604,0.0,0.3879310344827586,0.32756933200992233
14,71,0.40746478873239467,-0.028169014084508268,0.3196844993141291,0.015089163237312022,0.0,0.006283666377063643,0.0,0.0,0.004340659340659383,0.0,0.0,0.28169014084507044,0.0,0.0,0.22839506172839505,0.0,0.31690140845070425,0.32674872250536713
15,53,0.5692452830188683,0.18867924528302144,0.336598465473146,0.026854219948849872,0.0,0.009220660146699625,0.0,0.0,0.004620975387100232,0.0,0.0,0.3160377358490566,0.0,0.0,0.23433503836317135,0.0,0.32075471698113206,0.32632057925363606
16,55,0.46218181818181847,-0.036363636363638964,0.3448506571087218,0.02270011947431357,0.0,0.007269087789533446,0.0,0.0,0.0047741444615359485,0.0,0.0,0.2909090909090909,0.0,0.0,0.23805256869772998,0.0,0.3,0.3245658739700603
17,45,0.6140000000000002,0.4000000000000071,0.3585827664399095,0.04195011337868569,0.0,0.009173306772908396,0.0,0.0,0.004982905578925841,0.0,0.0,0.3388888888888889,0.0,0.0,0.24319727891156462,0.0,0.3,0.3230305068469315
18,41,0.5136585365853659,0.21951219512194828,0.3654712892741063,0.04983748645720548,0.0,0.008734964744919277,0.0,0.0,0.005120214929722875,0.0,0.0,0.2682926829268293,0.0,0.0,0.24431202600216684,0.0,0.4146341463414634,0.32841895622896283
19,50,0.35979999999999995,4.38604014219024E-15,0.36517985611510806,0.0472764645426525,0.0,0.005193418013856845,0.0,0.0,0.005123871600380737,0.0,0.0,0.335,0.0,0.0,0.24897225077081192,0.0,0.32,0.3279512364384649
20,67,0.14940298507462685,-0.1791044776119347,0.3512788461538463,0.0326923076923089,0.0,0.001901957058711755,0.0,0.0,0.004896594244662206,0.0,0.0,0.26492537313432835,0.0,0.0,0.25,0.0,0.3582089552238806,0.3295437479534868
21,50,0.8550000000000005,0.4800000000000096,0.3743853211009176,0.05321100917431352,0.0,0.013218923933209652,0.0,0.0,0.0052423467749187795,0.0,0.0,0.39,0.0,0.0,0.2564220183486238,0.0,0.43,0.33456656055581246
