Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,98,0.11459183673469392,-0.05102040816327011,0.11459183673469392,-0.05102040816327011,0.0,0.0017043557444225616,0.0,0.0,0.0017043557444225616,0.0,0.0,0.10459183673469388,0.0,0.0,0.10459183673469388,0.0,0.33163265306122447,0.33163265306122447
3,45,0.2013333333333333,-0.20000000000000004,0.1418881118881119,-0.0979020979021012,0.0,0.0036254501800720047,0.0,0.0,0.0022326144366197403,0.0,0.0,0.24444444444444444,0.0,0.0,0.1486013986013986,0.0,0.2111111111111111,0.2713718820861678
4,52,0.3090384615384617,-0.19230769230769268,0.18646153846153854,-0.1230769230769256,0.0,0.003653933606184547,0.0,0.0,0.0026961293192940706,0.0,0.0,0.3557692307692308,0.0,0.0,0.20384615384615384,0.0,0.3269230769230769,0.2898889470318042
5,58,0.14344827586206893,0.03448275862068993,0.17660079051383404,-0.08695652173913232,0.0,0.0022486486486486138,0.0,0.0,0.0025997905271732636,0.0,0.0,0.021551724137931036,0.0,0.0,0.16205533596837945,0.0,0.21551724137931033,0.2712960206186807
6,52,0.06865384615384612,-0.1538461538461548,0.15819672131147547,-0.09836065573770664,0.0,9.132770529547733E-4,0.0,0.0,0.002287271865370937,0.0,0.0,0.07692307692307693,0.0,0.0,0.14754098360655737,0.0,0.375,0.29203681649494456
7,46,0.5593478260869569,0.1304347826086963,0.21076923076923088,-0.0683760683760698,0.0,0.007887798896382563,0.0,0.0,0.003037319866978685,0.0,0.0,0.2826086956521739,0.0,0.0,0.16524216524216523,0.0,0.2717391304347826,0.2886538688182509
8,47,0.5387234042553195,-0.04255319148936199,0.24949748743718606,-0.06532663316583043,0.0,0.00860931655899356,0.0,0.0,0.0036376291303392154,0.0,0.0,0.42021276595744683,0.0,0.0,0.19535175879396985,0.0,0.425531914893617,0.3082078754004461
9,45,0.5942222222222225,0.22222222222221902,0.2845146726862304,-0.03611738148984346,0.0,0.008982196842459085,0.0,0.0,0.004163170933113149,0.0,0.0,0.3111111111111111,0.0,0.0,0.20711060948081264,0.0,0.26666666666666666,0.30301522430872363
10,48,0.08854166666666663,-0.2083333333333448,0.26535641547861516,-0.05295315682281304,0.0,0.0012941534713764046,0.0,0.0,0.003882416043386296,0.0,0.0,0.15625,0.0,0.0,0.20213849287169042,0.0,0.2916666666666667,0.30175427345960615
11,46,0.16086956521739126,0.0652173913043464,0.25640595903165747,-0.04283054003724632,0.0,0.00215743440233236,0.0,0.0,0.003722458028062416,0.0,0.0,0.11956521739130435,0.0,0.0,0.19506517690875233,0.0,0.34782608695652173,0.3063614548092978
12,59,0.41644067796610196,0.05084745762712246,0.27224832214765116,-0.03355704697986753,0.0,0.004881780250347815,0.0,0.0,0.0038613107419923198,0.0,0.0,0.3389830508474576,0.0,0.0,0.20931208053691275,0.0,0.3305084745762712,0.30855663842447717
13,43,0.48209302325581405,0.1860465116279178,0.2863693270735525,-0.018779342723005608,0.0,0.0058197641774284095,0.0,0.0,0.004014347139347167,0.0,0.0,0.2441860465116279,0.0,0.0,0.21165884194053208,0.0,0.38372093023255816,0.3148203294084839
14,54,0.14499999999999996,-0.07407407407407458,0.2753535353535354,-0.02308802308802397,0.0,0.0028054460766749893,0.0,0.0,0.003944599483204158,0.0,0.0,0.16203703703703703,0.0,0.0,0.2077922077922078,0.0,0.5092592592592593,0.32977717016623587
15,52,0.39230769230769263,0.03846153846153839,0.28351677852349,-0.018791946308725656,0.0,0.004170073589533905,0.0,0.0,0.003965306850395198,0.0,0.0,0.28846153846153844,0.0,0.0,0.2134228187919463,0.0,0.25961538461538464,0.32476561405546084
16,48,0.05687499999999999,0.1666666666666661,0.269798234552333,-0.007566204287516571,0.0,7.100130039011741E-4,0.0,0.0,0.0037461479198767516,0.0,0.0,0.0,0.0,0.0,0.2005044136191677,0.0,0.2604166666666667,0.32047568422954126
17,49,0.6085714285714288,0.20408163265305904,0.2895130641330167,0.0047505938242271405,0.0,0.007907716785998452,0.0,0.0,0.004003909137197595,0.0,0.0,0.39285714285714285,0.0,0.0,0.21169833729216153,0.0,0.4897959183673469,0.3310581988631541
18,61,0.18032786885245905,0.032786885245905444,0.28213732004429687,0.006644518272424679,0.0,0.0021251931993817082,0.0,0.0,0.003856703855644211,0.0,0.0,0.06967213114754098,0.0,0.0,0.20210409745293467,0.0,0.30327868852459017,0.3294241100197091
19,49,0.4316326530612246,0.08163265306122389,0.2898319327731093,0.010504201680671696,0.0,0.0062132784958873625,0.0,0.0,0.0039721866317320225,0.0,0.0,0.2193877551020408,0.0,0.0,0.2029936974789916,0.0,0.30612244897959184,0.32812957329525816
20,48,0.26562499999999994,-0.04166666666666865,0.2886700000000001,0.00799999999999936,0.0,0.0047968397291197045,0.0,0.0,0.004002578999181953,0.0,0.0,0.20833333333333334,0.0,0.0,0.20325,0.0,0.3541666666666667,0.32949994663059545
21,48,0.46895833333333364,0.08333333333333792,0.2969274809160306,0.011450381679388912,0.0,0.009214081047891726,0.0,0.0,0.004173327611179673,0.0,0.0,0.2760416666666667,0.0,0.0,0.20658396946564886,0.0,0.40625,0.33333744929906567
22,57,0.3305263157894741,-0.035087719298245425,0.298660633484163,0.009049773755655738,0.0,0.005129322080043463,0.0,0.0,0.004218208775898881,0.0,0.0,0.2324561403508772,0.0,0.0,0.2079185520361991,0.0,0.35964912280701755,0.3345903861327777
23,49,0.532040816326531,0.18367346938776652,0.3085701906412479,0.016464471403812953,0.0,0.008968008255934053,0.0,0.0,0.004388371290545217,0.0,0.0,0.2857142857142857,0.0,0.0,0.2112218370883882,0.0,0.3469387755102041,0.33515167655902434
24,54,0.3762962962962964,6.971018412721613E-18,0.31159768211920535,0.015728476821192175,0.0,0.005080000000000038,0.0,0.0,0.004420863478342587,0.0,0.0,0.30092592592592593,0.0,0.0,0.2152317880794702,0.0,0.4074074074074074,0.33829323007417145
25,55,0.45163636363636384,0.14545454545454334,0.3176959619952495,0.021377672209026154,0.0,0.005824150058616623,0.0,0.0,0.0044878032412844476,0.0,0.0,0.21363636363636362,0.0,0.0,0.21516231195566113,0.0,0.4,0.34086434548774763
26,63,0.2882539682539683,0.06349206349206189,0.3162971342383108,0.023378582202111562,0.0,0.003622581288649687,0.0,0.0,0.00444186736142003,0.0,0.0,0.21825396825396826,0.0,0.0,0.21530920060331826,0.0,0.35714285714285715,0.34151548595395204
27,55,0.15418181818181817,0.03636363636363663,0.30984069514844326,0.023895727733526394,0.0,0.0020567547902013527,0.0,0.0,0.004342077223603452,0.0,0.0,0.12272727272727273,0.0,0.0,0.2116220130340333,0.0,0.43636363636363634,0.3451634917389399
28,52,0.46634615384615413,-0.23076923076924352,0.3155198883461271,0.014654570830425184,0.0,0.006517065305025494,0.0,0.0,0.004421215262159487,0.0,0.0,0.5,0.0,0.0,0.22208653175157014,0.0,0.3942307692307692,0.3469807983127114
29,35,0.5588571428571428,0.1714285714285698,0.3213215258855587,0.01839237057220656,0.0,0.011378708551483483,0.0,0.0,0.004536231187190481,0.0,0.0,0.38571428571428573,0.0,0.0,0.22598773841961853,0.0,0.34285714285714286,0.34683352490358393
30,62,0.3967741935483872,0.19354838709677238,0.3243790849673204,0.025490196078430796,0.0,0.005032733224222756,0.0,0.0,0.004558522314990889,0.0,0.0,0.1532258064516129,0.0,0.0,0.22303921568627452,0.0,0.45161290322580644,0.35044660691469504
31,55,0.27890909090909105,0.03636363636363554,0.32280126182965313,0.02586750788643475,0.0,0.004957983193277444,0.0,0.0,0.004569560674127229,0.0,0.0,0.1318181818181818,0.0,0.0,0.21987381703470033,0.0,0.5181818181818182,0.35603778062359914
32,48,0.7443750000000006,0.2916666666666658,0.33519289650949186,0.03368034292712739,0.0,0.009304687499999801,0.0,0.0,0.004726570932672487,0.0,0.0,0.4583333333333333,0.0,0.0,0.22688303735456217,0.0,0.40625,0.3576575296357411
33,45,0.3088888888888889,-0.08888888888889057,0.3344874851013112,0.030393325387365288,0.0,0.004239097285757812,0.0,0.0,0.00471314848092977,0.0,0.0,0.28888888888888886,0.0,0.0,0.22854588796185935,0.0,0.32222222222222224,0.35655017627906865
34,50,0.31980000000000003,-0.12000000000000327,0.33406250000000015,0.026041666666665967,0.0,0.004773134328358254,0.0,0.0,0.0047147897677154,0.0,0.0,0.365,0.0,0.0,0.23249421296296297,0.0,0.34,0.35604865578576356
35,48,0.627916666666667,0.20833333333333168,0.34200450450450465,0.030968468468467743,0.0,0.007365591397849513,0.0,0.0,0.004800518462316664,0.0,0.0,0.3697916666666667,0.0,0.0,0.23620495495495494,0.0,0.5104166666666666,0.36058889139990774
36,40,-0.09025000000000002,-0.1,0.33248348017621154,0.028083700440527926,0.0,-0.0012702322308233548,0.0,0.0,0.0046671562185978425,0.0,0.0,0.0,0.0,0.0,0.2310022026431718,0.0,0.425,0.36242920878848184
37,50,0.4230000000000004,2.3009719130051566E-15,0.3349088960342981,0.027331189710610305,0.0,0.005966149506346909,0.0,0.0,0.004701801903472164,0.0,0.0,0.395,0.0,0.0,0.23539657020364416,0.0,0.33,0.3615283974332462
38,42,0.8388095238095241,0.3333333333333283,0.34600104821802946,0.03406708595387768,0.0,0.008416149068323121,0.0,0.0,0.004815209225315667,0.0,0.0,0.5,0.0,0.0,0.24122117400419288,0.0,0.4166666666666667,0.36301862092604137
39,38,0.4839473684210526,0.1578947368421082,0.3486947584789312,0.03648509763617612,0.0,0.006317416695293629,0.0,0.0,0.004846441733565716,0.0,0.0,0.2236842105263158,0.0,0.0,0.2408787255909558,0.0,0.4605263157894737,0.3655846128961317
40,45,0.6053333333333335,0.1777777777777733,0.3544952285283778,0.03967855349070745,0.0,0.00787283236994234,0.0,0.0,0.00491942678710831,0.0,0.0,0.3111111111111111,0.0,0.0,0.24246609743847314,0.0,0.4777777777777778,0.3684613607136098
